beds,baths,sq_feet,cats,dogs,postal_code,type_Apartment,type_Basement,type_Condo Unit,type_House,price
1,1.0,707.0,0,0,98,1.0,0.0,0.0,0.0,2095.0
1,1.0,1371.060606060606,1,1,20,1.0,0.0,0.0,0.0,2258.0
2,1.0,1371.060606060606,1,1,20,1.0,0.0,0.0,0.0,2499.0
2,2.0,1371.060606060606,1,1,20,1.0,0.0,0.0,0.0,2754.0
1,1.0,958.0,1,1,20,1.0,0.0,0.0,0.0,2395.0
1,1.0,680.0,1,1,4,1.0,0.0,0.0,0.0,2395.0
1,1.0,721.0,1,1,6,1.0,0.0,0.0,0.0,2299.0
1,1.0,673.0,1,1,6,1.0,0.0,0.0,0.0,2349.0
2,1.0,842.0,1,1,6,1.0,0.0,0.0,0.0,2559.0
1,1.0,625.0,1,1,7,1.0,0.0,0.0,0.0,2895.0
1,1.0,681.0,1,1,7,1.0,0.0,0.0,0.0,2835.0
2,2.0,1004.0,1,1,7,1.0,0.0,0.0,0.0,4095.0
2,2.0,1157.0,1,1,7,1.0,0.0,0.0,0.0,3750.0
1,1.0,0.0,1,1,6,1.0,0.0,0.0,0.0,2000.0
1,1.0,700.0,0,0,20,1.0,0.0,0.0,0.0,2295.0
1,1.0,819.0,0,0,20,1.0,0.0,0.0,0.0,2395.0
2,2.0,911.0,0,0,20,1.0,0.0,0.0,0.0,2695.0
1,1.0,825.0,1,1,7,1.0,0.0,0.0,0.0,2395.0
2,1.0,1137.0,1,1,7,1.0,0.0,0.0,0.0,3000.0
1,1.0,709.0,0,0,20,1.0,0.0,0.0,0.0,2215.0
2,1.0,953.0,0,0,20,1.0,0.0,0.0,0.0,2675.0
3,1.0,1540.0,1,1,6,1.0,0.0,0.0,0.0,3905.0
0,1.0,610.0,1,1,4,1.0,0.0,0.0,0.0,2135.0
1,1.0,775.0,1,1,4,1.0,0.0,0.0,0.0,2295.0
2,1.0,875.0,1,1,4,1.0,0.0,0.0,0.0,2645.0
2,1.0,1371.060606060606,0,0,6,1.0,0.0,0.0,0.0,2400.0
1,1.0,1371.060606060606,1,1,20,1.0,0.0,0.0,0.0,2224.0
2,1.5,1371.060606060606,1,1,20,1.0,0.0,0.0,0.0,3030.0
2,1.5,1371.060606060606,1,1,20,1.0,0.0,0.0,0.0,3685.0
1,1.0,550.0,1,1,20,0.0,1.0,0.0,0.0,1745.0
3,1.5,1400.0,1,1,20,0.0,0.0,0.0,1.0,3145.0
1,1.0,1371.060606060606,1,1,20,1.0,0.0,0.0,0.0,1950.0
2,1.0,1371.060606060606,1,1,20,1.0,0.0,0.0,0.0,3030.0
3,1.5,1371.060606060606,1,1,20,1.0,0.0,0.0,0.0,3299.0
1,1.0,600.0,1,1,20,1.0,0.0,0.0,0.0,1989.0
1,1.0,690.0,1,1,20,1.0,0.0,0.0,0.0,2325.0
5,2.0,2300.0,1,1,7,0.0,0.0,0.0,1.0,3895.0
4,3.0,3000.0,1,1,20,0.0,0.0,0.0,1.0,5045.0
3,2.0,1100.0,0,0,4,0.0,0.0,1.0,0.0,3800.0
4,4.0,1371.060606060606,1,1,4,0.0,0.0,0.0,1.0,4995.0
2,1.0,852.0,0,0,4,1.0,0.0,0.0,0.0,2602.04
2,1.0,1900.0,1,1,4,0.0,1.0,0.0,0.0,2490.0
1,1.0,550.0,1,1,4,1.0,0.0,0.0,0.0,2090.0
2,1.0,970.0,1,1,4,1.0,0.0,0.0,0.0,2340.0
2,1.0,1030.0,1,1,4,1.0,0.0,0.0,0.0,2425.0
1,1.0,1371.060606060606,1,1,4,1.0,0.0,0.0,0.0,1800.0
1,1.0,655.0,1,1,5,1.0,0.0,0.0,0.0,1650.0
1,1.0,755.0,1,1,5,1.0,0.0,0.0,0.0,1730.0
2,1.0,1245.0,1,1,5,1.0,0.0,0.0,0.0,2500.0
3,1.0,1371.060606060606,0,0,5,0.0,0.0,0.0,0.0,2500.0
4,2.5,2200.0,1,1,5,0.0,0.0,0.0,1.0,3195.0
2,1.0,880.0,0,0,24,1.0,0.0,0.0,0.0,2328.34
2,1.0,880.0,0,0,24,1.0,0.0,0.0,0.0,2343.34
1,1.0,679.0,0,0,24,1.0,0.0,0.0,0.0,2215.35
2,1.0,906.0,0,0,24,1.0,0.0,0.0,0.0,2321.34
2,1.0,879.0,0,0,24,1.0,0.0,0.0,0.0,2352.34
2,1.0,893.0,0,0,24,1.0,0.0,0.0,0.0,2334.34
2,1.0,871.0,1,1,44,1.0,0.0,0.0,0.0,2199.0
1,1.0,691.0,1,1,44,1.0,0.0,0.0,0.0,1869.0
2,1.0,793.0,1,1,44,1.0,0.0,0.0,0.0,2149.0
2,1.0,864.0,1,1,44,1.0,0.0,0.0,0.0,2212.49
3,1.0,1063.0,1,1,44,1.0,0.0,0.0,0.0,2710.19
2,1.0,801.0,1,1,44,1.0,0.0,0.0,0.0,2218.49
1,1.0,764.0,0,0,24,1.0,0.0,0.0,0.0,2080.03
2,1.0,1016.0,0,0,24,1.0,0.0,0.0,0.0,2642.27
2,1.0,1018.0,0,0,24,1.0,0.0,0.0,0.0,2319.24
2,1.0,1050.0,0,0,24,1.0,0.0,0.0,0.0,2412.24
3,1.5,1284.0,0,0,24,1.0,0.0,0.0,0.0,2869.13
0,1.0,603.0,0,0,24,1.0,0.0,0.0,0.0,1798.36
2,1.0,900.0,1,1,44,1.0,0.0,0.0,0.0,2344.43
1,1.0,738.0,1,1,44,1.0,0.0,0.0,0.0,2049.67
1,1.0,720.0,1,1,44,1.0,0.0,0.0,0.0,2100.7
1,1.0,720.0,1,1,44,1.0,0.0,0.0,0.0,2055.67
1,1.0,717.0,0,0,12,1.0,0.0,0.0,0.0,2058.85
2,1.0,974.0,0,0,12,1.0,0.0,0.0,0.0,2225.0
2,1.0,786.0,0,0,12,1.0,0.0,0.0,0.0,2263.03
2,1.0,927.0,0,0,12,1.0,0.0,0.0,0.0,2306.0
2,1.0,929.0,0,0,44,1.0,0.0,0.0,0.0,2377.39
1,1.0,766.0,0,0,44,1.0,0.0,0.0,0.0,2274.58
2,1.0,991.0,0,0,44,1.0,0.0,0.0,0.0,2433.39
2,1.0,994.0,0,0,44,1.0,0.0,0.0,0.0,2360.39
0,1.0,576.0,0,0,44,1.0,0.0,0.0,0.0,1875.8
2,1.0,929.0,0,0,44,1.0,0.0,0.0,0.0,2377.39
0,1.0,446.0,0,0,44,1.0,0.0,0.0,0.0,1774.0
2,1.0,987.0,0,0,44,1.0,0.0,0.0,0.0,2416.39
1,1.0,764.0,0,0,44,1.0,0.0,0.0,0.0,2289.58
2,1.0,996.0,0,0,44,1.0,0.0,0.0,0.0,2411.39
1,1.0,587.0,1,1,44,1.0,0.0,0.0,0.0,1780.0
2,2.0,1371.060606060606,1,1,12,1.0,0.0,0.0,0.0,2450.0
3,1.0,1371.060606060606,1,1,12,1.0,0.0,0.0,0.0,3000.0
1,1.0,1371.060606060606,1,1,24,1.0,0.0,0.0,0.0,1849.0
2,1.0,896.0,0,0,44,1.0,0.0,0.0,0.0,2432.51
1,1.0,668.0,0,0,44,1.0,0.0,0.0,0.0,2099.0
1,1.0,670.0,0,0,44,1.0,0.0,0.0,0.0,2152.56
1,1.0,505.0,0,0,44,1.0,0.0,0.0,0.0,2097.67
1,1.0,673.0,0,0,44,1.0,0.0,0.0,0.0,2162.95
2,1.0,1037.0,1,1,24,1.0,0.0,0.0,0.0,2364.75
1,1.0,823.0,1,1,24,1.0,0.0,0.0,0.0,2250.09
1,1.0,823.0,1,1,24,1.0,0.0,0.0,0.0,2202.87
3,1.0,989.0,1,1,24,0.0,0.0,0.0,0.0,2703.58
